"treefilename","strength","bias","birth","death"
"tree187.tre",-0.809678847785108,"FP",2,1
"tree188.tre",-0.118236145121045,"FP",2,1
"tree189.tre",0.245384047972038,"FP",2,1
"tree190.tre",-0.304474418866448,"FP",2,1
"tree191.tre",0.305271762423217,"FP",2,1
"tree192.tre",0.00960390164982527,"FP",2,1
"tree193.tre",-1.22120965248905,"FP",2,1
"tree194.tre",-1.43543212476652,"FP",2,1
"tree195.tre",-1.31369875953533,"FP",2,1
"tree196.tre",0.980609428603202,"FP",2,1
"tree197.tre",-0.153660439304076,"FP",2,1
"tree198.tre",-1.3860095551936,"FP",2,1
"tree199.tre",-0.110140107921325,"FP",2,1
"tree200.tre",0.210216312785633,"FP",2,1
"tree201.tre",-1.05569610348903,"FP",2,1
"tree202.tre",0.239951839554124,"FP",2,1
"tree203.tre",-1.11866598052438,"FP",2,1
"tree204.tre",0.163339285296388,"FP",2,1
"tree205.tre",0.599213724141009,"FP",2,1
"tree206.tre",-0.263718343689106,"FP",2,1
"tree207.tre",-1.48646778811235,"FP",2,1
"tree208.tre",0.893609690479934,"FP",2,1
"tree209.tre",-0.803555277292617,"FP",2,1
"tree210.tre",0.654299218673259,"FP",2,1
"tree211.tre",0.459694113465957,"FP",2,1
"tree212.tre",-0.481056857737713,"FP",2,1
"tree213.tre",0.611913877888583,"FP",2,1
"tree214.tre",0.324524629046209,"FP",2,1
"tree215.tre",0.616314836894162,"FP",2,1
"tree216.tre",0.920869673951529,"FP",2,1
"tree217.tre",0.174248784547672,"FP",2,1
"tree218.tre",-1.25011428061407,"FP",2,1
"tree219.tre",-0.134533872245811,"FP",2,1
"tree220.tre",-0.520632046158426,"FP",2,1
"tree221.tre",-0.0288676293566823,"FP",2,1
"tree222.tre",-1.15461605461314,"FP",2,1
"tree223.tre",0.283229210996069,"FP",2,1
"tree224.tre",0.00147137639578432,"FP",2,1
"tree225.tre",-0.677325938362628,"FP",2,1
"tree226.tre",0.431352107785642,"FP",2,1
"tree227.tre",-0.719013371621259,"FP",2,1
"tree228.tre",-0.367725488380529,"FP",2,1
