"treefilename","psi","bias","birth","death","ntaxa"
"tree143.tre",-0.619223697925918,"FP",4.20366735411808,1,168
"tree144.tre",0.210409811348654,"FP",1.47547741755843,1,81
"tree145.tre",0.391996792401187,"FP",4.01216284113471,1,79
"tree146.tre",-1.05360804277007,"FP",4.46218710618559,1,115
"tree147.tre",0.212762031820603,"FP",3.37615644522011,1,169
"tree148.tre",0.256466199294664,"FP",3.93978968586307,1,149
"tree149.tre",0.862446693587117,"FP",2.19241850734688,1,182
"tree150.tre",-0.570698122959584,"FP",3.50442180414684,1,114
"tree151.tre",-0.965620525297709,"FP",1.56490839286707,1,178
"tree152.tre",0.102278572972864,"FP",1.68651715568267,1,162
"tree153.tre",-0.950898163486272,"FP",3.564543801127,1,179
"tree154.tre",-1.00399147521239,"FP",1.13787148126867,1,52
"tree155.tre",0.564608880900778,"FP",4.36556781951804,1,137
"tree156.tre",-1.03797939117067,"FP",1.18178990636952,1,137
"tree157.tre",-1.15713064128067,"FP",4.02293707679492,1,170
"tree158.tre",-1.0750234182924,"FP",3.76200459382962,1,157
"tree159.tre",-0.909380887518637,"FP",2.68793382386211,1,108
"tree160.tre",-0.0857141803717241,"FP",3.85838488359004,1,75
"tree161.tre",-0.37056942738127,"FP",3.01914078847039,1,197
"tree162.tre",0.685944226221181,"FP",3.61062886661384,1,125
"tree163.tre",0.559251270839013,"FP",2.98914612953085,1,149
"tree164.tre",0.282836433849297,"FP",3.90075410248246,1,106
"tree165.tre",-0.209188633947633,"FP",1.80535394991748,1,138
"tree166.tre",-0.714144586003385,"FP",1.83673777491786,1,69
"tree167.tre",-0.955835194676183,"FP",3.57046324894764,1,96
"tree168.tre",-1.43570254941005,"FP",4.70819794114213,1,91
"tree169.tre",-0.23752118088305,"FP",2.13104560966603,1,156
"tree170.tre",-1.09169113193639,"FP",4.28148233478423,1,147
"tree171.tre",0.891339520690963,"FP",1.55518811866641,1,160
"tree172.tre",-0.183330527273938,"FP",1.34089117562398,1,175
"tree173.tre",0.547710201586597,"FP",3.23047176755499,1,129
"tree174.tre",0.771337984711863,"FP",2.084560577292,1,53
"tree175.tre",-1.24415874632541,"FP",3.29190864206757,1,82
"tree176.tre",-0.161152663989924,"FP",1.21754406106193,1,81
"tree177.tre",0.0108905278611928,"FP",2.41638158273418,1,109
"tree178.tre",0.539699053275399,"FP",1.45140767919365,1,180
"tree179.tre",0.0901007078355178,"FP",2.76432335411664,1,141
"tree180.tre",-1.19334068882745,"FP",2.55305048229638,1,127
"tree181.tre",-1.40618995740078,"FP",1.33087243700866,1,174
"tree182.tre",0.381753150955774,"FP",1.54330540194642,1,115
"tree183.tre",0.585636868723668,"FP",1.21257515898906,1,199
"tree184.tre",0.433835541713051,"FP",3.08809146655258,1,177
"tree185.tre",-0.000633444054983556,"FP",1.13771528212819,1,152
"tree186.tre",-0.881876335246488,"FP",1.34623408282641,1,138
"tree187.tre",-0.714919627993368,"FP",2.55527604173403,1,193
"tree188.tre",-0.411574250087142,"FP",1.4293911570916,1,79
"tree189.tre",-1.3434344335692,"FP",4.34253811419476,1,86
"tree190.tre",-0.178853117162362,"FP",2.79550689829048,1,64
"tree191.tre",-0.19748855358921,"FP",4.56464227288961,1,168
"tree192.tre",0.893462134059519,"FP",2.61249373608734,1,87
"tree193.tre",0.339958095224574,"FP",4.58641868664417,1,88
"tree194.tre",-1.03166053106543,"FP",2.14463835456409,1,134
"tree195.tre",0.0394150477368385,"FP",3.60591794401407,1,154
"tree196.tre",0.236788342241198,"FP",2.6072085992666,1,51
"tree197.tre",0.492694236687385,"FP",3.73638296145946,1,127
"tree198.tre",0.4446677621454,"FP",1.94807464224286,1,82
"tree199.tre",0.892229008255526,"FP",4.75929589685984,1,174
"tree200.tre",-0.712081012083218,"FP",3.89677307112142,1,147
"tree201.tre",-1.43724824511446,"FP",4.97773162950762,1,121
"tree202.tre",0.10637027816847,"FP",2.09999357140623,1,182
"tree203.tre",-1.38915240159258,"FP",2.74072655178607,1,101
"tree204.tre",-1.30824389727786,"FP",2.52346145187039,1,55
"tree205.tre",-0.639009781647474,"FP",1.86276212735102,1,105
"tree206.tre",-1.39534043415915,"FP",4.8366286522476,1,174
"tree207.tre",-0.00756855506915599,"FP",4.05127583851572,1,86
"tree208.tre",0.930296818492934,"FP",3.20729344431311,1,97
"tree209.tre",-0.60762058920227,"FP",3.1413890408352,1,121
"tree210.tre",0.650060124695301,"FP",3.14661338895094,1,96
"tree211.tre",0.160403097630478,"FP",1.80402800883166,1,159
"tree212.tre",0.140659609111026,"FP",3.79535484104417,1,123
"tree213.tre",-1.1308408700861,"FP",3.78575603256468,1,137
"tree214.tre",-1.01733696158044,"FP",4.76553119623568,1,105
"tree215.tre",-0.0233922902261838,"FP",4.59241714570671,1,130
"tree216.tre",0.682303500594571,"FP",3.49774372745305,1,187
"tree217.tre",-1.38548686378635,"FP",1.44074029072654,1,132
"tree218.tre",-0.668749100645073,"FP",3.85108840111643,1,152
"tree219.tre",-1.27256325131748,"FP",3.80642207926139,1,51
"tree220.tre",-0.447261385037564,"FP",1.51745592067018,1,164
"tree221.tre",0.863108995486982,"FP",4.96958995112218,1,67
"tree222.tre",-0.324474809225649,"FP",3.13314020470716,1,78
"tree223.tre",-1.09584906871896,"FP",3.31128428471275,1,162
"tree224.tre",-1.30222523969132,"FP",4.96378378213849,1,79
"tree225.tre",-0.54625196417328,"FP",4.55823536131065,1,94
"tree226.tre",0.423743872321211,"FP",4.46936840475537,1,125
"tree227.tre",-0.322660621954128,"FP",3.96773945889436,1,92
"tree228.tre",0.423674092395231,"FP",4.183890762995,1,171
"tree229.tre",0.847694219788536,"FP",1.68678401033394,1,105
"tree230.tre",0.0982777124736458,"FP",3.16289777725469,1,84
"tree231.tre",0.547098397742957,"FP",2.96281567516271,1,79
"tree232.tre",-0.266194550553337,"FP",2.33422703130636,1,59
"tree233.tre",-1.13697260885965,"FP",3.40325722037815,1,63
"tree234.tre",0.905205336981453,"FP",2.50917205906007,1,181
"tree235.tre",-1.01183490629774,"FP",1.28641271684319,1,191
"tree236.tre",-0.86978047771845,"FP",2.16783295532223,1,83
"tree237.tre",0.449659925303422,"FP",1.47204340281896,1,59
"tree238.tre",-1.14116800227202,"FP",4.65716749907006,1,151
"tree239.tre",0.2660187225556,"FP",3.59254043262918,1,185
"tree240.tre",-0.47113986313343,"FP",1.95654198990669,1,192
"tree241.tre",0.45680143777281,"FP",4.15049090504181,1,66
"tree242.tre",0.0417694416828454,"FP",4.38303838982247,1,103
"tree243.tre",-1.39019075059332,"FP",4.51154229890089,1,145
"tree244.tre",0.716283603920601,"FP",3.24296814918052,1,125
"tree245.tre",-0.18325108778663,"FP",3.02707810802385,1,127
"tree246.tre",0.559660348459147,"FP",4.73083447716199,1,65
"tree247.tre",-0.29607557610143,"FP",4.50599829091225,1,105
"tree248.tre",0.313154114643112,"FP",4.75970890047029,1,107
"tree249.tre",-1.21944605233148,"FP",3.40221657440998,1,131
"tree250.tre",-1.23559172416572,"FP",1.59182013054378,1,105
"tree251.tre",-0.292240751208737,"FP",3.05282444872428,1,54
"tree252.tre",-0.392661050194874,"FP",4.96626431997865,1,173
"tree253.tre",-0.22307175770402,"FP",3.59963235105388,1,98
"tree254.tre",0.0198273817077279,"FP",3.57568873846903,1,57
"tree255.tre",0.39774542930536,"FP",2.22276106073987,1,120
"tree256.tre",-0.144351695547812,"FP",4.85222488734871,1,73
"tree257.tre",-0.331261182203889,"FP",4.20605583491269,1,52
"tree258.tre",-0.414236418204382,"FP",2.50493460460566,1,141
"tree259.tre",0.578369704540819,"FP",1.81124700556975,1,128
"tree260.tre",-0.916425555245951,"FP",2.08456401512958,1,192
"tree261.tre",-1.20498691429384,"FP",4.14847339743283,1,110
"tree262.tre",-0.840947383316234,"FP",2.52420652734581,1,122
"tree263.tre",-0.699657232966274,"FP",4.7674074918963,1,142
"tree264.tre",0.945419754367322,"FP",4.80185379819013,1,163
"tree265.tre",-1.44642804958858,"FP",2.74922045778949,1,106
"tree266.tre",0.125604825676419,"FP",1.34072399828583,1,132
"tree267.tre",-0.76939413533546,"FP",2.07670872695744,1,142
"tree268.tre",-1.42921726428904,"FP",4.97090745198075,1,196
"tree269.tre",0.473341404809617,"FP",4.8605662218295,1,190
"tree270.tre",-0.574595594429411,"FP",4.68419796836097,1,113
"tree271.tre",-1.35337066231295,"FP",3.29597498101648,1,187
"tree272.tre",-1.31945018633269,"FP",1.63524249729235,1,91
"tree273.tre",0.0277819591574371,"FP",1.75483779781498,1,161
"tree274.tre",-0.0535304434597492,"FP",3.76305802317802,1,116
"tree275.tre",0.987398370867595,"FP",1.51007615099661,1,158
"tree276.tre",-0.997444301960059,"FP",3.89628536854871,1,154
"tree277.tre",-1.21808221365791,"FP",3.32330595327076,1,158
